Round,Region,Matchup,Pick,Pick_Seed,Opponent,Opponent_Seed
Round of 64,East,Duke vs Siena,Duke,1,Siena,16
Round of 64,East,Ohio State vs TCU,Ohio State,8,TCU,9
Round of 64,East,St John's vs Northern Iowa,St John's,5,Northern Iowa,12
Round of 64,East,Louisville vs South Florida,South Florida,6,South Florida,11
Round of 64,East,Kansas vs CA Baptist,Kansas,4,CA Baptist,13
Round of 64,East,UCLA vs UCF,UCF,7,UCF,10
Round of 64,East,Michigan St vs N Dakota St,Michigan St,3,N Dakota St,14
Round of 64,East,UConn vs Furman,UConn,2,Furman,15
Round of 64,South,Florida vs Prairie View,Florida,1,Prairie View,16
Round of 64,South,Clemson vs Iowa,Iowa,8,Iowa,9
Round of 64,South,Vanderbilt vs McNeese,Vanderbilt,5,McNeese,12
Round of 64,South,North Carolina vs VCU,VCU,6,VCU,11
Round of 64,South,Nebraska vs Troy,Nebraska,4,Troy,13
Round of 64,South,Saint Mary's vs Texas A&M,Saint Mary's,7,Texas A&M,10
Round of 64,South,Illinois vs Penn,Illinois,3,Penn,14
Round of 64,South,Houston vs Idaho,Houston,2,Idaho,15
Round of 64,West,Arizona vs Long Island,Arizona,1,Long Island,16
Round of 64,West,Villanova vs Utah State,Villanova,8,Utah State,9
Round of 64,West,Wisconsin vs High Point,Wisconsin,5,High Point,12
Round of 64,West,BYU vs Texas,BYU,6,Texas,11
Round of 64,West,Arkansas vs Hawai'i,Arkansas,4,Hawai'i,13
Round of 64,West,Miami vs Missouri,Miami,7,Missouri,10
Round of 64,West,Gonzaga vs Kennesaw St,Gonzaga,3,Kennesaw St,14
Round of 64,West,Purdue vs Queens,Purdue,2,Queens,15
Round of 64,Midwest,Michigan vs Howard,Michigan,1,Howard,16
Round of 64,Midwest,Georgia vs Saint Louis,Saint Louis,8,Saint Louis,9
Round of 64,Midwest,Texas Tech vs Akron,Akron,5,Akron,12
Round of 64,Midwest,Tennessee vs Miami OH,Tennessee,6,Miami OH,11
Round of 64,Midwest,Alabama vs Hofstra,Alabama,4,Hofstra,13
Round of 64,Midwest,Kentucky vs Santa Clara,Kentucky,7,Santa Clara,10
Round of 64,Midwest,Virginia vs Wright St,Virginia,3,Wright St,14
Round of 64,Midwest,Iowa State vs Tennessee St,Iowa State,2,Tennessee St,15
Round of 32,East,Duke vs Ohio State,Duke,1,Ohio State,8
Round of 32,East,St John's vs Kansas,St John's,5,Kansas,4
Round of 32,East,South Florida vs Michigan St,Michigan St,3,South Florida,11
Round of 32,East,UCF vs UConn,UConn,2,UCF,10
Round of 32,South,Florida vs Iowa,Florida,1,Iowa,9
Round of 32,South,Vanderbilt vs Nebraska,Vanderbilt,5,Nebraska,4
Round of 32,South,VCU vs Illinois,Illinois,3,VCU,11
Round of 32,South,Saint Mary's vs Houston,Houston,2,Saint Mary's,7
Round of 32,West,Arizona vs Villanova,Arizona,1,Villanova,8
Round of 32,West,Wisconsin vs Arkansas,Arkansas,4,Wisconsin,5
Round of 32,West,BYU vs Gonzaga,BYU,6,Gonzaga,3
Round of 32,West,Miami vs Purdue,Purdue,2,Miami,7
Round of 32,Midwest,Michigan vs Saint Louis,Michigan,1,Saint Louis,9
Round of 32,Midwest,Akron vs Alabama,Alabama,4,Akron,12
Round of 32,Midwest,Tennessee vs Virginia,Tennessee,6,Virginia,3
Round of 32,Midwest,Kentucky vs Iowa State,Kentucky,7,Iowa State,2
Sweet 16,East,Duke vs St John's,Duke,1,St John's,5
Sweet 16,East,Michigan St vs UConn,Michigan St,3,UConn,2
Sweet 16,South,Florida vs Vanderbilt,Florida,1,Vanderbilt,5
Sweet 16,South,Illinois vs Houston,Illinois,3,Houston,2
Sweet 16,West,Arkansas vs Arizona,Arkansas,4,Arizona,1
Sweet 16,West,BYU vs Purdue,Purdue,2,BYU,6
Sweet 16,Midwest,Michigan vs Alabama,Michigan,1,Alabama,4
Sweet 16,Midwest,Tennessee vs Kentucky,Kentucky,7,Tennessee,6
Elite 8,East,Duke vs Michigan St,Duke,1,Michigan St,3
Elite 8,South,Florida vs Illinois,Illinois,3,Florida,1
Elite 8,West,Arkansas vs Purdue,Purdue,2,Arkansas,4
Elite 8,Midwest,Michigan vs Kentucky,Michigan,1,Kentucky,7
Final Four,East/South,Duke vs Illinois,Duke,1,Illinois,3
Final Four,West/Midwest,Purdue vs Michigan,Michigan,1,Purdue,2
Championship,,,Duke,1,Michigan,1
Tiebreaker,Championship Game Total Points,,,139,,,
